Date,Actual_Sales,Predicted_Sales
2016-04-19,127,172.10039313529686
2016-04-20,181,172.1003931352909
2016-04-21,268,172.10039313527622
2016-04-22,278,172.10039313526696
2016-04-23,234,172.1003931352667
2016-04-24,133,172.1003931352713
2016-04-25,91,172.10039313527534
2016-04-26,83,172.10039313527636
2016-04-27,139,172.1003931352751
2016-04-28,113,172.10039313527355
2016-04-29,141,172.10039313527287
2016-04-30,228,172.1003931352731
2016-05-01,163,172.10039313527366
2016-05-02,0,172.100393135274
2016-05-03,125,172.100393135274
2016-05-04,180,172.10039313527383
2016-05-05,222,172.1003931352737
2016-05-06,243,172.10039313527366
2016-05-07,408,172.10039313527372
2016-05-08,181,172.10039313527378
2016-05-09,176,172.1003931352738
2016-05-10,178,172.1003931352738
2016-05-11,310,172.10039313527378
2016-05-12,134,172.10039313527378
2016-05-13,132,172.10039313527378
2016-05-14,1,172.10039313527378
2016-05-15,0,172.10039313527378
2016-05-16,0,172.10039313527378
2016-05-17,0,172.10039313527378
2016-05-18,110,172.10039313527378
2016-05-19,81,172.10039313527378
2016-05-20,112,172.10039313527378
2016-05-21,186,172.10039313527378
2016-05-22,113,172.10039313527378
2016-05-23,86,172.10039313527378
2016-05-24,59,172.10039313527378
2016-05-25,94,172.10039313527378
2016-05-26,167,172.10039313527378
2016-05-27,244,172.10039313527378
2016-05-28,261,172.10039313527378
2016-05-29,187,172.10039313527378
2016-05-30,115,172.10039313527378
2016-05-31,139,172.10039313527378
2016-06-01,273,172.10039313527378
2016-06-02,235,172.10039313527378
2016-06-03,172,172.10039313527378
2016-06-04,323,172.10039313527378
2016-06-05,336,172.10039313527378
2016-06-06,127,172.10039313527378
2016-06-07,137,172.10039313527378
2016-06-08,249,172.10039313527378
2016-06-09,201,172.10039313527378
2016-06-10,271,172.10039313527378
2016-06-11,512,172.10039313527378
2016-06-12,317,172.10039313527378
2016-06-13,224,172.10039313527378
2016-06-14,239,172.10039313527378
2016-06-15,377,172.10039313527378
2016-06-16,239,172.10039313527378
2016-06-17,243,172.10039313527378
2016-06-18,438,172.10039313527378
2016-06-19,334,172.10039313527378
2016-06-20,149,172.10039313527378
2016-06-21,32,172.10039313527378
2016-06-22,39,172.10039313527378
2016-06-23,42,172.10039313527378
2016-06-24,64,172.10039313527378
2016-06-25,170,172.10039313527378
2016-06-26,132,172.10039313527378
2016-06-27,123,172.10039313527378
2016-06-28,78,172.10039313527378
2016-06-29,130,172.10039313527378
2016-06-30,141,172.10039313527378
2016-07-01,247,172.10039313527378
2016-07-02,322,172.10039313527378
2016-07-03,196,172.10039313527378
2016-07-04,172,172.10039313527378
2016-07-05,218,172.10039313527378
2016-07-06,216,172.10039313527378
2016-07-07,179,172.10039313527378
2016-07-08,32,172.10039313527378
2016-07-09,95,172.10039313527378
2016-07-10,78,172.10039313527378
2016-07-11,122,172.10039313527378
2016-07-12,164,172.10039313527378
2016-07-13,288,172.10039313527378
2016-07-14,138,172.10039313527378
2016-07-15,189,172.10039313527378
2016-07-16,321,172.10039313527378
2016-07-17,209,172.10039313527378
2016-07-18,161,172.10039313527378
2016-07-19,157,172.10039313527378
2016-07-20,283,172.10039313527378
2016-07-21,60,172.10039313527378
2016-07-22,98,172.10039313527378
2016-07-23,133,172.10039313527378
2016-07-24,130,172.10039313527378
2016-07-25,62,172.10039313527378
2016-07-26,97,172.10039313527378
2016-07-27,98,172.10039313527378
2016-07-28,108,172.10039313527378
2016-07-29,128,172.10039313527378
2016-07-30,270,172.10039313527378
2016-07-31,183,172.10039313527378
